               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11935,            0.021845,                   0,          0.00095238,             0.28571,           0.0022872,          0.00027899,             0.10955,            0.017031,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11513,            0.020418,                   0,          0.00095238,             0.28571,           0.0012223,          0.00061115,             0.10188,            0.017014,                   0,            0.093693,          0.00069307,          0.00069307
                   2,             0.10791,            0.020555,                   0,           0.0018337,             0.42857,            0.023525,           0.0024492,            0.097066,            0.016516,                   0,            0.090078,           0.0010782,           0.0010782
                   3,             0.10353,            0.020583,                   0,           0.0019048,             0.57143,           0.0046988,          0.00091358,            0.090043,            0.015479,                   0,            0.086455,           0.0014555,           0.0014555
                   4,             0.10304,            0.023215,                   0,           0.0019048,             0.57143,             0.01296,           0.0014598,             0.08841,            0.015194,                   0,            0.082825,           0.0018248,           0.0018248
                   5,            0.096509,             0.02133,                   0,            0.002381,             0.71429,           0.0035214,          0.00037978,            0.086646,            0.015043,                   0,            0.079186,           0.0021861,           0.0021861
                   6,            0.091816,            0.025886,                   0,            0.002381,             0.71429,            0.011375,           0.0013644,             0.08135,             0.01515,                   0,             0.07554,           0.0025396,           0.0025396
                   7,            0.088632,            0.020447,                   0,           0.0028571,             0.85714,            0.014333,           0.0042245,            0.074738,            0.015145,                   0,            0.071885,           0.0028852,           0.0028852
                   8,            0.081998,            0.021097,                   0,           0.0028571,             0.85714,            0.061654,            0.012874,            0.073731,            0.014304,                   0,            0.068223,           0.0032228,           0.0032228
                   9,            0.082718,            0.019916,                   0,             0.01187,             0.57143,             0.24197,             0.06544,            0.065113,            0.014347,                   0,            0.064553,           0.0035525,           0.0035525
                  10,            0.074324,            0.019164,                   0,           0.0059125,                   1,             0.26047,            0.064163,            0.069489,            0.012867,                   0,            0.060874,           0.0038743,           0.0038743
                  11,            0.078843,            0.021477,                   0,            0.025884,                   1,             0.17497,            0.072674,            0.060793,            0.013346,                   0,            0.057188,           0.0041882,           0.0041882
                  12,            0.073916,            0.020945,                   0,            0.031469,                   1,             0.43011,             0.10433,            0.061581,            0.012386,                   0,            0.053494,           0.0044941,           0.0044941
                  13,            0.069074,            0.021278,                   0,              0.4935,                   1,                 0.7,             0.34052,            0.060396,            0.011464,                   0,            0.049792,           0.0047922,           0.0047922
                  14,            0.066585,            0.018915,                   0,                   1,             0.72039,              0.9775,             0.45666,            0.068585,           0.0097766,                   0,            0.046082,           0.0050823,           0.0050823
                  15,            0.063205,            0.017061,                   0,             0.25851,             0.28571,             0.42366,              0.1542,            0.059301,            0.010667,                   0,            0.042364,           0.0053644,           0.0053644
                  16,            0.068965,             0.02102,                   0,             0.67873,             0.90885,               0.813,             0.30993,             0.06191,            0.010514,                   0,            0.038639,           0.0056387,           0.0056387
                  17,            0.058239,            0.018658,                   0,             0.58291,             0.85714,             0.58373,             0.20228,            0.068631,           0.0090491,                   0,            0.034905,           0.0059051,           0.0059051
                  18,            0.068901,            0.018699,                   0,             0.66594,             0.57143,             0.72417,             0.33521,            0.051388,            0.010854,                   0,            0.031163,           0.0061635,           0.0061635
                  19,            0.061217,            0.018888,                   0,             0.59064,             0.57143,             0.63544,             0.20872,            0.065014,           0.0092749,                   0,            0.027414,            0.006414,            0.006414
                  20,            0.062455,            0.016747,                   0,             0.59138,             0.42857,             0.59431,             0.18341,            0.067402,           0.0091089,                   0,            0.023657,           0.0066566,           0.0066566
                  21,            0.068092,            0.017926,                   0,                   1,             0.74159,             0.96389,             0.41188,             0.05321,           0.0098315,                   0,            0.019891,           0.0068913,           0.0068913
                  22,            0.054772,            0.020515,                   0,             0.84057,             0.75768,               0.933,             0.56065,            0.055566,           0.0090479,                   0,            0.016118,            0.007118,            0.007118
                  23,            0.061002,            0.016556,                   0,             0.70981,             0.71429,             0.60114,             0.16993,            0.058223,           0.0096216,                   0,            0.012337,           0.0073369,           0.0073369
                  24,            0.058802,             0.01871,                   0,             0.73598,             0.80105,             0.90944,             0.42548,            0.068355,           0.0078369,                   0,           0.0085478,           0.0075478,           0.0075478
                  25,            0.070427,            0.015801,                   0,             0.96816,                   1,               0.995,               0.298,            0.054107,           0.0095459,                   0,            0.007525,            0.007525,            0.007525
                  26,            0.053572,            0.016057,                   0,              0.9317,             0.85714,              0.9775,             0.57805,            0.055978,           0.0087268,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.057733,            0.018862,                   0,                   1,             0.97815,               0.995,             0.31997,            0.050785,           0.0095325,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.047494,            0.017564,                   0,                   1,             0.93753,               0.995,             0.43938,             0.05256,            0.008974,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.05075,            0.017185,                   0,             0.91011,             0.85714,              0.9775,             0.43569,            0.048123,           0.0093488,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.049661,            0.018313,                   0,             0.75041,             0.85714,             0.94389,             0.66194,            0.047569,           0.0087469,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.051148,            0.020457,                   0,             0.98357,                   1,               0.995,             0.54171,            0.040517,            0.009176,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.04744,            0.018856,                   0,             0.96838,             0.85714,              0.9775,             0.70985,            0.047005,           0.0081445,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.045949,            0.020879,                   0,             0.98311,                   1,               0.995,             0.27405,            0.049199,             0.00849,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.043317,            0.017564,                   0,             0.98348,             0.85714,              0.9775,             0.62909,            0.045826,           0.0079511,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.041178,            0.019682,                   0,                   1,             0.99136,               0.995,             0.35615,             0.04218,            0.008783,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.043388,            0.017336,                   0,             0.97726,             0.85714,              0.9775,             0.70544,            0.045025,           0.0076105,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.045776,            0.016505,                   0,             0.99213,                   1,               0.995,              0.3917,            0.038512,           0.0086902,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.043867,            0.016056,                   0,             0.99277,                   1,               0.995,                0.37,            0.049764,           0.0075568,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.045114,            0.015293,                   0,             0.99238,                   1,               0.995,             0.58041,            0.036378,           0.0081982,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036667,            0.016662,                   0,             0.98947,                   1,               0.995,             0.47466,            0.040209,            0.007749,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043998,            0.015495,                   0,             0.98744,                   1,               0.995,             0.37425,            0.040246,           0.0079791,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.038855,            0.017208,                   0,             0.98275,                   1,               0.995,             0.70751,            0.030382,           0.0079254,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040022,            0.016537,                   0,             0.98851,                   1,               0.995,             0.38068,            0.043764,           0.0072437,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035926,            0.014678,                   0,             0.98411,                   1,               0.995,             0.54397,            0.030749,           0.0077112,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.035677,            0.016726,                   0,             0.98907,                   1,               0.995,             0.45263,            0.038533,           0.0070935,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.038333,            0.015613,                   0,             0.98891,                   1,               0.995,             0.68882,            0.027271,           0.0074725,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.037289,            0.014525,                   0,             0.99019,                   1,               0.995,             0.43709,            0.035407,           0.0070093,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.034309,            0.014793,                   0,             0.99083,                   1,               0.995,             0.65194,             0.02605,           0.0071954,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03511,            0.010798,                   0,             0.99208,                   1,               0.995,             0.41567,            0.038903,           0.0066638,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.032527,             0.01218,                   0,             0.98434,                   1,               0.995,             0.72835,            0.025945,           0.0067621,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.035275,            0.012227,                   0,             0.99169,                   1,               0.995,             0.44301,            0.036118,           0.0066492,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038014,            0.013919,                   0,             0.99049,                   1,               0.995,              0.7012,            0.027537,           0.0065289,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036816,            0.011525,                   0,             0.99116,                   1,               0.995,             0.43747,            0.034608,           0.0064447,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032286,            0.012372,                   0,             0.96763,                   1,               0.995,             0.69681,             0.02966,           0.0060889,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.035831,            0.010954,                   0,             0.99102,                   1,               0.995,             0.54796,            0.031294,           0.0061542,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.031864,            0.012197,                   0,             0.99012,                   1,               0.995,             0.69278,            0.026302,           0.0060791,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.03248,            0.011625,                   0,             0.99078,                   1,               0.995,             0.70322,            0.024984,           0.0060272,                   0,            0.004456,            0.004456,            0.004456
